,link,titles,abstracts
0,https://www.sciencedirect.com/science/article/pii/S0079661120301658,Assessment of a Lagrangian model using trajectories of oceanographic drifters and fishing devices in the Tropical Atlantic Ocean,"In the Tropical Atlantic Ocean, we assessed the accuracy of a Lagrangian model (Ichthyop) forced with velocity fields from a hydrodynamical model (CROCO) and two different remote sensing products (GlobCurrent and OSCAR) using trajectories of oceanographic drifters. Additionally, we evaluated the possibility to expand the drifters data using trajectories of GPS-buoy equipped drifting Fish Aggregating Devices (FADs). The observed and simulated trajectories were compared in terms of spatial distribution, velocity distribution and a nondimensional skill score. For the drifters and FADs, the GlobCurrent and OSCAR products lead to similar performances as the CROCO model-ouputs in the broad studied domain. In the Gulf of Guinea, however, the CROCO model performed significantly better than the other two because the parent solution of CROCO benefited from its communication with a child grid of finer resolution in this region. On average, the simulations lead to an underestimation of the drifter and FAD velocities, likely because the spatial resolutions of the forcing products were insufficient and the time frequency at which they were produced were too low to resolve the relevant oceanic processes properly. We found a low skill for all models to simulate FAD trajectories, possibly because of the devices vertical structure that prevent FADs from drifting like water parcels. Our results therefore suggest that in the Tropical Atlantic the FAD dataset may not be appropriate to use for corroborating Lagrangian simulations."
1,https://www.sciencedirect.com/science/article/pii/S0079661122000519,Marine life at Lagrangian fronts,"Many ocean fronts are known to feature enhanced primary and secondary production and elevated biodiversity. The confluence of water masses on strong fronts promotes concentration of plankters (phytoplankton and small zooplankton) contributing to creation of oases in the oceanic desert for marine habitants, from small pelagic fish and turtles to seabirds and apex (top) predators. This article is a concise review of the role of ocean fronts in marine life, with a particular focus on their detection and tracking using satellite data and Lagrangian diagnostics. Using altimetry-based calculations of the indicators of water motion, it is shown how to identify circulation features with enhanced values of gradients of these indicators, the so-called Lagrangian fronts, which approximate locations of ocean fronts. The role of Lagrangian fronts, induced by horizontal stirring by large-scale currents, in structuring plankters and organizing spatial distribution of food resources in the open ocean is discussed as well. The paper emphasizes the importance of Lagrangian fronts in foraging strategy and as potential feeding grounds of pelagic fish, squid, seabirds, elephant seals, penguins and whales and their significance in marine ecology and fisheries."
2,https://www.sciencedirect.com/science/article/pii/S0967064518301292,Lagrangian studies of wave-induced flows in a viscous ocean,"A review of the Lagrangian approach to wave-induced drift in a rotating fluid layer of finite depth is presented. The Lagrangian description of fluid motion is (usually) more mathematically demanding than the traditional Eulerian approach. However, it yields directly the mean particle drift velocity in periodic motion. The solution to the wave-drift problem in a Lagrangian description depends crucially on the viscosity <span class=""math""><math><mrow is=""true""><mi is=""true"">ν</mi></mrow></math></span> being non-zero, however small."
3,https://www.sciencedirect.com/science/article/pii/S1463500317301853,Lagrangian ocean analysis: Fundamentals and practices,"Lagrangian analysis is a powerful way to analyse the output of ocean circulation models and other ocean velocity data such as from altimetry. In the Lagrangian approach, large sets of virtual particles are integrated within the three-dimensional, time-evolving velocity fields. Over several decades, a variety of tools and methods for this purpose have emerged. Here, we review the state of the art in the field of Lagrangian analysis of ocean velocity data, starting from a fundamental kinematic framework and with a focus on large-scale open ocean applications. Beyond the use of explicit velocity fields, we consider the influence of unresolved physics and dynamics on particle trajectories. We comprehensively list and discuss the tools currently available for tracking virtual particles. We then showcase some of the innovative applications of trajectory data, and conclude with some open questions and an outlook. The overall goal of this review paper is to reconcile some of the different techniques and methods in Lagrangian ocean analysis, while recognising the rich diversity of codes that have and continue to emerge, and the challenges of the coming age of petascale computing."
4,https://www.sciencedirect.com/science/article/pii/S0167278917302750,Generalized Lagrangian coherent structures,"The notion of a Lagrangian Coherent Structure (LCS) is by now well established as a way to capture transient coherent transport dynamics in unsteady and aperiodic fluid flows that are known over finite time. We show that the concept of an LCS can be generalized to capture coherence in other quantities of interest that are transported by, but not fully locked to, the fluid. Such quantities include those with dynamic, biological, chemical, or thermodynamic relevance, such as temperature, pollutant concentration, vorticity, kinetic energy, plankton density, and so on. We provide a conceptual framework for identifying the Generalized Lagrangian Coherent Structures (GLCSs) associated with such evolving quantities. We show how LCSs can be seen as a special case within this framework, and provide an overarching discussion of various methods for identifying LCSs. The utility of this more general viewpoint is highlighted through a variety of examples. We also show that although LCSs approximate GLCSs in certain limiting situations under restrictive assumptions on how the velocity field affects the additional quantities of interest, LCSs are not in general sufficient to describe their coherent transport."
5,https://www.sciencedirect.com/science/article/pii/S0079661118301745,"Revisiting the circulation of the East Australian Current: Its path, separation, and eddy field","The traditional view of the East Australian Current (EAC), as depicted in many schematics, is of a continuous boundary current that flows along the shelf off eastern Australia, between approximately 18°S and about 32.5°S, where it separates from the coast and continues either towards New Zealand, along the Tasman Front; or towards Tasmania, as the EAC Extension. Additionally, it is widely recognised that eddies are prevalent in the EAC region – particularly south of the EAC separation."
6,https://www.sciencedirect.com/science/article/pii/S0079661108000232,Statistics from Lagrangian observations,"We review statistical analyses of Lagrangian data from the ocean. These can be grouped into studies involving single particles and those with pairs or groups of particles. Single particle studies are the most common. The prevalent analysis involves binning velocities geographically to estimate the Eulerian means and lateral diffusivities. However single particle statistics have also been used to study Rossby wave propagation, the influence of bottom topography and eddy heat fluxes. Other studies have used stochastic models to simulate dispersion, calculated Lagrangian frequency spectra and examined the relation between Lagrangian and Eulerian integral scales. Studies involving pairs of particles are fewer, and the results are not well-established yet. There are indications that pair separations grow exponentially in time below the deformation radius, as is also the case in the stratosphere. The behavior at larger scales is less clear, indicating either a turbulent cascade or dispersion by the sheared large-scale circulation. In addition, three or more particles can be used to measure relative vorticity and divergence."
7,https://www.sciencedirect.com/science/article/pii/S0370157306003401,A tutorial on dynamical systems concepts applied to Lagrangian transport in oceanic flows defined as finite time data sets: Theoretical and computational issues,"In the past 15 years the framework and ideas from dynamical systems theory have been applied to a variety of transport and mixing problems in oceanic flows. The motivation for this approach comes directly from advances in observational capabilities in oceanography (e.g., drifter deployments, remote sensing capabilities, satellite imagery, etc.) which reveal space–time structures that are highly suggestive of the structures one visualizes in the global, geometrical study of dynamical systems theory."
8,https://www.sciencedirect.com/science/article/pii/S0079661122000854,Incorporating tides and internal gravity waves within global ocean general circulation models: A review,"Until recently, high-resolution global modeling of tides has been done separately from high-resolution global modeling of the atmospherically-forced oceanic general circulation. Here we review the emerging class of high-resolution global models that are simultaneously forced by both atmospheric fields and the astronomical tidal potential. Such models simulate barotropic (surface) tides, internal tides, near-inertial motions, the eddying general oceanic circulation, and a partially resolved internal gravity wave (IGW) continuum spectrum (Garrett-Munk spectrum) simultaneously. We review the technical aspects of such global models and their myriad applications, for example, in satellite oceanography, operational oceanography, boundary forcing of regional models, tidal-cryosphere interactions, and assessment of future coastal flooding hazards in a changing climate with altered tides."
9,https://www.sciencedirect.com/science/article/pii/S1463500316300300,Antarctic icebergs melt over the Southern Ocean: Climatology and impact on sea ice,"Recent increase in Antarctic freshwater release to the Southern Ocean is suggested to contribute to change in water masses and sea ice. However, climate models differ in their representation of the freshwater sources. Recent improvements in altimetry-based detection of small icebergs and in estimates of the mass loss of Antarctica may help better constrain the values of Antarctic freshwater releases. We propose a model-based seasonal climatology of iceberg melt over the Southern Ocean using state-of-the-art observed glaciological estimates of the Antarctic mass loss. An improved version of a Lagrangian iceberg model is coupled with a global, eddy-permitting ocean/sea ice model and compared to small icebergs observations. Iceberg melt increases sea ice cover, about 10% in annual mean sea ice volume, and decreases sea surface temperature over most of the Southern Ocean, but with distinctive regional patterns. Our results underline the importance of improving the representation of Antarctic freshwater sources. This can be achieved by forcing ocean/sea ice models with a climatological iceberg fresh-water flux."
10,https://www.sciencedirect.com/science/article/pii/S1463500317301774,Will high-resolution global ocean models benefit coupled predictions on short-range to climate timescales?,"As the importance of the ocean in the weather and climate system is increasingly recognised, operational systems are now moving towards coupled prediction not only for seasonal to climate timescales but also for short-range forecasts. A three-way tension exists between the allocation of computing resources to refine model resolution, the expansion of model complexity/capability, and the increase of ensemble size. Here we review evidence for the benefits of increased ocean resolution in global coupled models, where the ocean component explicitly represents transient mesoscale eddies and narrow boundary currents. We consider lessons learned from forced ocean/sea-ice simulations; from studies concerning the SST resolution required to impact atmospheric simulations; and from coupled predictions. Impacts of the mesoscale ocean in western boundary current regions on the large-scale atmospheric state have been identified. Understanding of air-sea feedback in western boundary currents is modifying our view of the dynamics in these key regions. It remains unclear whether variability associated with open ocean mesoscale eddies is equally important to the large-scale atmospheric state. We include a discussion of what processes can presently be parameterised in coupled models with coarse resolution non-eddying ocean models, and where parameterizations may fall short. We discuss the benefits of resolution and identify gaps in the current literature that leave important questions unanswered."
11,https://www.sciencedirect.com/science/article/pii/S0029801817305000,Indigenized Indian Drifting Buoys with INSAT Communication for Ocean Observations,"Drifting buoys are widely deployed to measure near surface ocean currents and temperature. The Global Ocean Observation System program designed a global array of 1250 drifter buoys to cover oceans at resolution of one per 5° × 5° grids spatially. The National Institute of Ocean Technology, India indigenized drifting buoy in 2012 with geostationary satellite communication to have near real-time data at every hour. The drifting buoy technology is applied for intellectual property right and transferred to Industries. The measurement scheme in the drifting buoys is capable to measure variability in sea surface temperature and small mesoscale surface eddies. This article describes case studies of indigenous drifting buoys in the Indian Ocean from 2012 onwards. The sea surface temperature and drifting speed measured with indigenous drifting buoy is compared with market available drifting buoy (Marlin-Yug), moored data buoy (BD11) and remote sensed data. We also report results from a drifting buoy with General Packet Radio Service (GPRS) telemetry in the coastal region."
